Nodos,Tiempo_Distribuido_ms,Tiempo_Secuencial_ms,Speedup,Radio_Distribuido,Radio_Secuencial,Puntos_Dentro_Distribuido,Puntos_Dentro_Secuencial,Total_Puntos,Eficiencia_Distribuido,Eficiencia_Secuencial,Score
1,411.79418563842773,1550.3900051116943,3.76,47.30332771063786,4615.521706390793,62,200,200,31.0,100.0,1.1656
2,34.6677303314209,914.574146270752,26.38,98.6445834543799,231.2546038507987,0,199,200,,99.5,
3,16.219139099121094,826.8299102783203,50.98,33.68737606656238,66.89700759376312,55,198,200,27.500000000000004,99.0,14.0195
4,17.386674880981445,198.74858856201172,11.43,148.04890988167625,812.1553448137272,192,200,200,96.0,100.0,10.9728
5,10.469198226928711,728.7192344665527,69.61,2207.0838052322815,812.1553448137275,200,198,200,100.0,99.0,69.61
6,7.505893707275391,405.9133529663086,54.08,3550.295765598926,1084.944912784572,200,200,200,100.0,100.0,54.08
7,2.9265880584716797,1029.4110774993896,351.74,136.56093419843256,67.37475213312476,191,197,200,95.5,98.5,335.9117
8,2.5691986083984375,192.70753860473633,75.01,321.29156228848484,121.9794199732174,200,198,200,100.0,99.0,75.01
