Nodos,Tiempo_Distribuido_ms,Tiempo_Secuencial_ms,Speedup,Radio_Distribuido,Radio_Secuencial,Puntos_Dentro_Distribuido,Puntos_Dentro_Secuencial,Total_Puntos,Eficiencia_Distribuido,Eficiencia_Secuencial,Score
1,875.9899139404297,389.48941230773926,0.44,142.06793477481597,64.41548435741207,198,197,200,99.0,98.5,0.4356
2,197.45612144470215,1346.0748195648193,6.82,46.580254981159456,111.35589317351526,58,197,200,28.999999999999996,98.5,1.9778
3,46.16856575012207,363.6031150817871,7.88,43.591669645701806,483.9113918126801,77,197,200,38.5,98.5,3.0338
6,4.413604736328125,938.5416507720947,212.65,475.1539087221556,142.067934774816,200,198,200,100.0,99.0,212.65
8,1.5802383422851562,98.16217422485352,62.12,108.68275781886811,111.35589317351526,198,197,200,99.0,98.5,61.498799999999996
9,2.564668655395508,1018.9046859741211,397.29,281.1001014001519,483.9113918126801,200,197,200,100.0,98.5,397.29
10,3.583669662475586,416.1550998687744,116.13,203.82992699485763,340.84381243437144,200,200,200,100.0,100.0,116.13
11,2.722024917602539,986.6509437561035,362.47,431.2280851590218,102.43882266693493,200,200,200,100.0,100.0,362.47
12,4.446744918823242,918.372392654419,206.53,270.1860075355588,142.06793477481597,187,198,200,93.5,99.0,193.10555000000002
